country,location,name,nameWoDiacritics,subdivision,status,function,iata,lat,lon,geocoded
AR,ABA,Abasto,Abasto,,RQ,--3-----,,-34.96666666666667,-58.083333333333336,
AR,ACA,Acaragu�,Acaragua,N,RL,--3-----,,-27.466666666666665,-55.11666666666667,
AR,ACS,Acassuso,Acassuso,B,RL,--3-----,,-34.483333333333334,-58.516666666666666,
AR,AVD,Acevedo,Acevedo,B,RL,--3-----,,-33.733333333333334,-60.45,
AR,AC5,Acheral,Acheral,T,RL,--3-----,,-27.116666666666667,-65.45,
AR,AMA,Adelia Mar�a,Adelia Maria,X,RL,--3-----,,-33.61666666666667,-64.03333333333333,
AR,GEO,Agrelo,Agrelo,M,RL,1-------,,-33.11666666666667,-68.88333333333334,
AR,AGS,Aguilares,Aguilares,T,RL,--3-----,,-27.433333333333334,-65.61666666666666,
AR,AIM,Aimogasta,Aimogasta,F,RL,--3-----,,-28.716666666666665,-66.81666666666666,
AR,ALN,Albard�n,Albardon,J,RL,--3-----,,-31.433333333333334,-68.51666666666667,
AR,ALI,Alberti,Alberti,B,RL,-23-----,,-35.03333333333333,-60.28333333333333,
AR,AEA,Aldea Escolar,Aldea Escolar,U,RL,--3-----,,-43.13333333333333,-71.55,
AR,ADS,Alderetes,Alderetes,T,RL,--3-----,,-26.816666666666666,-65.13333333333334,
AR,ALL,Allen,Allen,R,RL,-23-----,,-38.983333333333334,-67.81666666666666,
AR,ALE,Almafuerte,Almafuerte,X,RL,--3-----,,-32.2,-64.25,
AR,ALS,Alsina,Alsina,,RQ,--3-----,,-33.9,-59.38333333333333,
AR,ASL,Alto de Sierra,Alto de Sierra,J,RL,--3-----,,-31.516666666666666,-68.41666666666667,
AR,ARR,Alto R�o Senguerr,Alto Rio Senguerr,U,AI,--34----,,-45.03333333333333,-70.83333333333333,
AR,LTV,Alto Verde,Alto Verde,M,RQ,--3-----,,-33.15,-67.35,
AR,ALZ,Alvarez,Alvarez,S,RL,--3-----,,-33.11666666666667,-60.8,
AR,AVR,Alvear,Alvear,S,RQ,-----6--,,-33.666666666666664,-60.61666666666667,
AR,ANA,A�atuya,Anatuya,G,RL,-23-----,,-28.466666666666665,-62.833333333333336,
AR,ANC,Anc�n,Ancon,B,RL,--3-----,,-35.56666666666667,-61.85,
AR,ADC,Andacollo,Andacollo,Q,RL,--3-----,,-37.18333333333333,-70.68333333333334,
AR,AND,Andalgal�,Andalgala,K,RL,-23-----,,-27.6,-66.31666666666666,
AR,ALO,A�elo,Anelo,Q,RL,-----6--,,-38.35,-68.78333333333333,
AR,ANO,Angaco,Angaco,J,RL,--3-----,,-31.216666666666665,-68.03333333333333,
AR,ASA,Apolinario Saravia,Apolinario Saravia,A,RL,-----6--,,-24.416666666666668,-64.03333333333333,
AR,APO,Apostoles,Apostoles,N,RQ,--3-----,,-27.916666666666668,-55.766666666666666,
AR,ARN,Aranguren,Aranguren,E,RL,--3-----,,-32.233333333333334,-60.15,
AR,ARI,Arias,Arias,X,RL,-----6--,,-33.63333333333333,-62.416666666666664,
AR,AVO,Arist�bulo del Valle,Aristobulo del Valle,N,RL,--3-----,,-27.116666666666667,-54.916666666666664,
AR,ARG,Armstrong,Armstrong,S,RL,--3-----,,-32.766666666666666,-61.6,
AR,ACF,Arrecifes,Arrecifes,B,RL,123-----,,-34.083333333333336,-60.11666666666667,
AR,AYO,Arroyito,Arroyito,X,RQ,--3-----,,-31.416666666666668,-63.05,
AR,ASO,Arroyo Seco,Arroyo Seco,,RQ,1-------,,-33.13333333333333,-60.43333333333333,
AR,AST,Asturias,Asturias,,RL,--3-----,,-36.166666666666664,-61.88333333333333,
AR,ATU,Atucha,Atucha,B,RL,--3-----,,-33.9801959,-59.284623,true
AR,AVE,Avellaneda,Avellaneda,C,RL,--3-----,,-34.65,-58.36666666666667,
AR,AVS,Avellaneda,Avellaneda,S,RL,--3-----,,-29.1,-59.65,
AR,AZU,Azul,Azul,B,RL,-23-----,,-36.78333333333333,-59.86666666666667,
AR,BHI,Bah�a Blanca,Bahia Blanca,B,AI,1--4----,,-38.71666666666667,-62.28333333333333,
AR,BSB,Bahia San Blas,Bahia San Blas,B,RL,--3-----,,-40.55,-62.25,
AR,BAJ,Bajo Grande,Bajo Grande,F,RL,--3-----,,-30.566666666666666,-66.15,
AR,BHO,Bajo Hondo,Bajo Hondo,B,RL,--3-----,,-38.766666666666666,-61.9,
AR,BCA,Balcarce,Balcarce,B,RL,-23-----,,-37.833333333333336,-58.25,
AR,BES,Ballesteros,Ballesteros,X,AA,--3-----,,-32.53333333333333,-62.96666666666667,
AR,BDR,Banda del R�o Sal�,Banda del Rio Sali,T,RL,--3-----,,-26.833333333333332,-65.16666666666667,
AR,BAD,Banfield,Banfield,B,RL,--3-----,,-34.75,-58.4,
AR,BAR,Baradero,Baradero,B,RL,--3-----,,-33.78333333333333,-59.516666666666666,
AR,BAS,Barrancas,Barrancas,M,RL,-----6--,,-34,-68.71666666666667,
AR,BQS,Barranqueras,Barranqueras,H,AI,1-------,,-27.4850978,-58.9308766,true
AR,BAL,Barreal,Barreal,J,RL,--3-----,,-31.633333333333333,-69.46666666666667,
AR,BTN,Barrio Batan,Barrio Batan,B,RL,--3-----,,-38,-57.7,
AR,BMS,Barrio Marquez de Sobremonte,Barrio Marquez de Sobremonte,X,RL,--3-----,,-31.383333333333333,-64.16666666666667,
AR,BEC,Beccar,Beccar,B,RL,--3-----,,-34.766666666666666,-58.9,
AR,BDE,Bel�n de Escobar,Belen de Escobar,B,RL,-----6--,,-34.333333333333336,-58.81666666666667,
AR,BVL,Bell Ville,Bell Ville,X,RL,--3-----,,-32.61666666666667,-62.7,
AR,BEL,Bella Vista,Bella Vista,B,RL,--3-----,,-34.55,-58.68333333333333,
AR,BVA,Bella Vista,Bella Vista,T,AA,--3-----,,-27.033333333333335,-65.3,
AR,BVC,Bella Vista,Bella Vista,W,RQ,1----6--,,-28.5,-59.05,
AR,BVZ,Benavidez,Benavidez,B,RL,--3-----,,-34.4,-58.7,
AR,BEA,Bengolea,Bengolea,X,AA,--3-----,,-33.03333333333333,-63.68333333333333,
AR,BJR,Benito Juarez,Benito Juarez,B,RQ,--3-----,,-37.666666666666664,-59.8,
AR,BER,Berazategui,Berazategui,B,RL,--3-----,,-34.733333333333334,-58.25,
AR,BRN,Bernal,Bernal,B,RL,--3-----,,-34.71666666666667,-38.25,
AR,BOL,Bombal,Bombal,S,RL,--3-----,,-33.45,-61.333333333333336,
AR,BOU,Boulogne,Boulogne,B,RL,--3-----,,-34.5,-58.56666666666667,
AR,BON,Bowen,Bowen,M,AA,--3-----,,-35,-67.51666666666667,
AR,BGO,Bragado,Bragado,B,RL,-23-----,,-35.11666666666667,-60.5,
AR,BRD,Brandsen,Brandsen,B,RL,-----6--,,-35.166666666666664,-58.233333333333334,
AR,BUE,Buenos Aires,Buenos Aires,C,AI,12345---,,-34.583333333333336,-58.666666666666664,
AR,BUU,Burruyac�,Burruyacu,T,AA,--3-----,,-26.5,-64.75,
